Lineage	Mean.Tree.Ratio	Mean.Total.Ratio	Mean.Total.Ratio.Var	Mean.Tree.Av.AD	Mean.Total.Av.AD	Mean.Sig
B.1.428.1	0	0.723076923076923	0.0153846153846154	0	34.6666666666667	0.538860103626943
B.1.615	0	0.689181286549708	0.0174707602339182	0	28.25	0.457885698310636
B.1.177.15	0	0.598345373214893	0.0358286256734333	0	15.4569597069597	0.256808406665242
B.1.362.2	0	0.721311475409836	0.0163934426229508	0	29.5	0.404109589041096
B.1.499	0	0.641779677459523	0.0150034315897382	0	29.5	0.404109589041096
C.16	0	0.673879353437439	0.0500582997839117	0	28.28125	0.563654766976908
B.1.416	0	0.668139783773096	0.0283017618280334	0	27.5282051282051	0.433041452830363
B.1.22	0	0.655495506529694	0.0253073472449745	0	29.5	0.404109589041096
B.1.177.17	0	0.640871953435341	0.0437619837340933	0	12.5296703296703	0.260440417932149
B.1.413	0	0.650784046257392	0.0187885599841789	0	27.7738095238095	0.485107677082688
B.1.1.117	0	0.677327728854823	0.0455815280445822	0	31.9666666666667	0.575756920415225
B.1.613	0	0.71875	0.03125	0	20.3333333333333	0.316062176165803
B.1.177.42	0	0.645289735582188	0.048770201924869	0	10.4270833333333	0.203533089976444
B.1.1.335	0	0.666084963507184	0.0195882092338692	0	28.8626050420168	0.484601936074158
B.1.265	0	0.675560431445228	0.0221628121101951	0	28.6666666666667	0.44533231861999
B.1.1.376	0	0.669784443369349	0.044260334354674	0	30.6190476190476	0.539336169331782
B.1.137	0	0.716049382716049	0.0123456790123457	0	29.5	0.404109589041096
B.1.301	0	0.664031918737279	0.0156436852182387	0	28.0869565217391	0.442787472968609
B.1.214	0	0.675884065100644	0.0254449522080852	0	27.1333333333333	0.410115888001469
B.1.177.60	0	0.597807241277885	0.0378973320388788	0	8.61020299145299	0.188730333870988
B.1.525	0	0.702213279678068	0.0141851106639839	0	29.5	0.404109589041096
B.1.239	0	0.643967756684574	0.0204009137158186	0	29.3837560386473	0.487256947981077
B.1.428	0	0.672959547439783	0.0241637739969362	0	29.4041666666667	0.507485876000595
B.1.333	0	0.658149431946018	0.0264359274391351	0	27.5208333333333	0.406007777196755
B.1.1.269	0	0.663586771801807	0.0431584332615536	0	30.3775252525252	0.543375718039954
B.1.1.378	0	0.66934942991281	0.0902079141515762	0	30.9166666666667	0.560708424507659
AE.6	0	0.714285714285714	0.214285714285714	0	30.6	0.550359712230216
B.1.1.375	0	0.660130933942334	0.0565813024512825	0	27.1481481481481	0.815025252525252
C.36	0	0.642204394734943	0.0393054055071281	0	29.447337962963	0.756972525035677
W.1	0	0.626373626373626	0.0430402930402931	0	1	0.0147058823529412
B.1.177.87	0	0.622163951957506	0.0424492812324655	0	10.8623076923077	0.280735424431181
A	0	0.57333860282456	0.019332450789483	0	21.9096177944862	0.32019873531357
B.1.359	0	0.671747770814416	0.0189871533411733	0	28.3235294117647	0.481770626007236
B.1.110.3	0	0.671444769014932	0.0213687866900233	0	29.3720821661998	0.468049421029816
B.1.358	0	0.677849019158843	0.0201702160140447	0	31.1007751937984	0.542618792007288
B.1.177.12	0	0.622868509568057	0.0452638041892918	0	19.6835707502374	0.426932101392387
B.1.576	0	0.649186918517969	0.0247784032635498	0	28.0015235039139	0.46969010359452
B.1.39	0	0.680894637368105	0.0168439802521713	0	28.3003875968992	0.457696783665075
AK.2	0	0.711111111111111	0.0444444444444444	0	31.3333333333333	0.5875
B.1.334	0	0.664393830187258	0.0239037322148049	0	28.7426470588235	0.471706831991654
B.1.12	0	0.683141935627874	0.0200999477064162	0	30.7124183006536	0.4672288667073
B.1.586	0	0.646038866104656	0.0298696551986026	0	29.75	0.447421927387681
B.1.1.137	0	0.674288799021938	0.0361571448186994	0	30.3333333333333	0.549222666439202
B.1.1.166	0	0.644602108195306	0.0393898976861004	0	28.0396468007493	0.48755112329654
B.1.195	0	0.670524910807439	0.0206558932358319	0	27.4183673469388	0.459124063455329
B.1.524	0	0.673765528797999	0.0201253868536106	0	33.9833333333333	0.470495008876734
A.2	0	0.709677419354839	0.0161290322580645	0	29.5	0.404109589041096
B.1.210	0	0.681863003334778	0.0212237559071051	0	26.4285714285714	0.409034939202709
B.1.1.170	0	0.654302604501186	0.0395468229105224	0	28.7626262626263	0.52371650940828
B.1.423	0	0.680632411067194	0.0235836627140975	0	28.25	0.457885698310636
B.1.201	0	0.671137783253516	0.0161503354993409	0	33.8333333333333	0.412504035791707
B.1.350	0	0.672584541062802	0.0231723027375201	0	30.3888888888889	0.502004708911408
B.1.1.316	0	0.667835884353742	0.0369632227891156	0	30.8095238095238	0.564715541632983
D.5	0	0.708333333333333	0.0833333333333333	0	31.3333333333333	0.5875
B.1.177.44	0	0.617300847749676	0.0435177726943984	0	15.5558069381599	0.360404782360094
B.1.177.21	0	0.636092638679335	0.0379181926250774	0	19.6969252017046	0.392969531662164
B.1.177.4	0	0.621637647633378	0.0393504059902903	0	18.268253968254	0.339378503145527
B.1.1.220	0	0.63195268195187	0.0445249689005884	0	32.4222222222222	0.573008385744235
B.1.384	0	0.623696070406893	0.0137707436577539	0	29.2685185185185	0.405238102011883
B.1.302	0	0.667473239921672	0.0230699306019966	0	28.7738095238095	0.495743431474223
B.1.289	0	0.672409746505103	0.0140624387836863	0	29.1586190226751	0.429597757698384
M.1	0	0.683159245006414	0.0403151914971596	0	29.9166666666667	0.559484265734266
B.1.40	0	0.662832255567821	0.0221101193956906	0	27.0595238095238	0.469653484953586
B.1.315	0	0.681870781099325	0.0219222115075539	0	27.6166666666666	0.457345799811554
B.1.541	0	0.687873808867237	0.0286321889266783	0	26.875	0.417339509805263
B.1.36.9	0	0.651292335115865	0.0162655971479501	0	29.5	0.404109589041096
B.1.192	0	0.63586840715929	0.0160503210276912	0	29.2333333333333	0.413122239688599
B.1.243	0	0.639272686225931	0.0290951413244508	0	25.6251552917142	0.483767082341087
B.1.564	0	0.652472385185248	0.0291068267863342	0	23.1555727189048	0.400154621924454
B.1.177.9	0	0.606273931848317	0.0509239715248536	0	9.79047619047619	0.227575992297071
B.1.371	0	0.65174800212518	0.0269914874724053	0	26.7710960537048	0.492732365589572
B.1.366	0	0.678876953876954	0.022506545006545	0	32.5476190476191	0.458440899150046
B.1.1.440	0	0.656362731121018	0.0456843978943426	0	29.3181818181818	0.517023421958052
B.1.438	0	0.661571983286203	0.0153911652719317	0	32.75	0.410405424104054
B.1.340	0	0.664414634449203	0.0213895845559495	0	27.950983436853	0.451663853380397
B.1.160	0	0.628499827698934	0.0260987738507173	0	27.0123881721606	0.447138227753025
B.1.177.54	0	0.610362206747289	0.0476066567661025	0	9.74285714285714	0.189904475556289
B.1.108	0	0.680843356035358	0.0220257933632807	0	31.8333333333333	0.43607305936073
B.1.1.397	0	0.637491349058122	0.0414837529224252	0	29.5245834973108	0.572776922431315
B.1.104	0	0.667548127776602	0.0149495804245116	0	28.25	0.465943683409437
B.1.473	0	0.645706035200355	0.0205770164712268	0	28.0287523407728	0.494062554760339
B.1.499.1	0	0.7	0.0166666666666667	0	29.5	0.404109589041096
B.1.324	0	0.649269381649854	0.0236322295602932	0	31.6892361111111	0.470782203442138
B.1.439	0	0.681236673773987	0.0200544894574746	0	20	0.276209113782499
